P.E.(Y),Quartzo(X1),Cor(X2),Feldspato(X3),NS(X4),EW(X5)
2.63,21.3,5.5,73,0.92,6.09
2.64,38.9,2.7,57.4,1.15,3.62
2.64,26.1,11.1,62.6,1.16,6.75
2.63,29.3,6,63.6,1.3,3.01
2.64,24.5,6.6,69.1,1.4,7.4
2.61,30.9,3.3,65.1,1.59,8.63
2.63,27.9,1.9,69.1,1.75,4.22
2.63,22.8,1.2,76,1.82,2.42
2.65,20.1,5.6,74.1,1.83,8.84
2.69,16.4,21.3,61.7,1.855,10.92
2.67,15,18.9,65.6,2.01,14.22
2.83,0.6,35.9,62.5,2.04,10.6
2.7,18.4,16.6,64.9,2.05,8.32
2.68,19.5,14.2,65.4,2.21,8.06
2.62,34.4,4.6,60.7,2.27,2.73
2.63,26.9,8.6,63.6,2.53,3.5
2.61,28.7,5.5,65.8,2.62,7.44
2.62,28.5,3.9,67.8,3.025,5.06
2.61,38.4,3,57.6,3.06,5.42
2.63,28.1,12.9,59,3.07,12.55
2.63,37.4,3.5,57.6,3.12,12.13
2.78,0.9,22.9,74.4,3.4,15.4
2.76,8.8,34.9,55.4,3.52,9.91
2.63,16.2,5.5,77.6,3.61,11.52
2.74,2.2,28.4,69.3,4.22,16.4
2.64,29.1,5.1,65.7,4.25,11.43
2.7,24.9,6.9,67.8,4.94,5.91
2.63,39.6,3.6,56.6,5.04,1.84
2.71,17.1,11.3,70.9,5.06,11.76
2.84,0,47.8,52.2,5.09,16.43
2.68,19.9,11.6,67.2,5.24,11.33
2.84,1.2,34.8,64,5.32,8.78
2.74,13.2,18.8,67.4,5.32,13.73
2.74,13.7,21.2,64,5.33,12.45
2.61,26.1,2.3,71.2,5.35,1.43
2.63,19.9,4.1,76,5.61,4.15
2.77,4.9,18.8,74.3,5.85,13.84
2.72,15.5,12.2,69.7,6.46,11.66
2.83,0,39.7,60.2,6.59,14.64
2.77,4.5,30.5,63.9,7.26,12.81
2.92,0,63.8,35.2,7.42,16.61
2.77,4,24.1,71.8,7.91,14.65
2.79,23.4,12.4,63.1,8.47,13.33
2.69,29.5,9.8,60.4,8.74,15.77
